Age;Sex;Ethnicity;Country_of_birth;Country_of_residence;Nationality;Language;Student_status;Employment_status
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Female;Other;Tunisia;Germany;Tunisia;Arabic;No;Full-Time
22;Male;White;Germany;Germany;Germany;German;No;Full-Time
41;Female;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
32;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
22;Female;Mixed;Germany;Germany;Germany;Kurdish;Yes;Part-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Other
31;Female;White;Germany;Germany;Germany;German;No;Full-Time
19;Male;White;Germany;Germany;Germany;German;No;Part-Time
26;Male;White;Germany;Germany;Germany;German;Yes;Other
40;Male;White;Germany;Germany;Germany;German;No;Part-Time
18;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
60;Female;White;Germany;Germany;Germany;German;No;Part-Time
24;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;Mixed;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
30;Female;White;Thailand;Germany;Germany;English;No;Full-Time
27;Male;Asian;India;Germany;India;Hindi;No;Full-Time
64;Female;White;Germany;Germany;Germany;German;No;Full-Time
36;Female;White;Germany;Germany;Germany;German;No;Part-Time
22;Male;White;Germany;Germany;Germany;German;Yes;Other
27;Male;White;Albania;Germany;Albania;Albanian;No;Full-Time
29;Male;Mixed;Morocco;Germany;Spain;Spanish;No;Part-Time
19;Female;Black;Ghana;Germany;Spain;English;Yes;Unemployed (and job seeking)
23;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
19;Male;White;United States;Germany;Germany;German;No;Due to start a new job within the next month
32;Male;White;Germany;Germany;Germany;German;No;Part-Time
33;Female;White;Austria;Germany;Austria;German;No;Full-Time
49;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Other
32;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;United Kingdom;Germany;United Kingdom;English;Yes;Full-Time
26;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
30;Female;Asian;India;Germany;India;English;No;Full-Time
64;Male;White;United Kingdom;Germany;United Kingdom;English;No;Unemployed (and job seeking)
24;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
21;Male;White;Germany;Germany;Germany;German;Yes;Other
38;Female;White;Germany;Germany;Germany;German;No;Full-Time
63;Male;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
32;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;Asian;Germany;Germany;Vietnam;German;Yes;Full-Time
29;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
27;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
33;Female;White;Germany;Germany;Germany;English;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
40;Male;White;Germany;Germany;Germany;German;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;No;Due to start a new job within the next month
42;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
30;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
31;Male;White;Germany;Germany;Germany;German;No;Part-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Male;White;Poland;Germany;Poland;Polish;No;Full-Time
31;Female;White;United Kingdom;Germany;United Kingdom;English;No;Full-Time
29;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Male;White;Turkey;Germany;Turkey;Kurdish;Yes;Unemployed (and job seeking)
28;Male;White;Germany;Germany;Germany;German;No;Full-Time
46;Male;White;Turkey;Germany;Turkey;Turkish;No;Other
23;Female;White;Ukraine;Germany;Ukraine;Ukrainian;No;Full-Time
68;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;White;Poland;Germany;Poland;Polish;Yes;Part-Time
20;Male;White;Germany;Germany;Germany;Russian;No;Full-Time
36;Male;White;Brazil;Germany;Brazil;Portuguese;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;Croatian;Yes;Full-Time
33;Female;Asian;Turkey;Germany;Germany;Kurdish;No;Full-Time
33;Female;White;Germany;Germany;Germany;English;No;Full-Time
25;Female;White;United States;Germany;Germany;German;Yes;Full-Time
39;Male;Asian;Indonesia;Germany;Indonesia;Indonesian;Yes;Full-Time
28;Male;Asian;Germany;Germany;Germany;German;Yes;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Other
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
55;Male;White;Germany;Germany;Germany;German;No;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
45;Male;White;Ukraine;Germany;Germany;English;No;Full-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;Asian;Turkey;Germany;Turkey;Kurdish;No;Other
19;Male;Mixed;Germany;Germany;Germany;German;No;Due to start a new job within the next month
31;Female;White;Serbia;Germany;Serbia;Serbian;No;Other
47;Male;White;Germany;Germany;Germany;German;No;Full-Time
41;Female;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
35;Prefer not to say;White;Germany;Germany;Germany;German;Yes;Full-Time
18;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
26;Male;Mixed;Hong Kong;Germany;Germany;English;Yes;Part-Time
23;Female;Asian;Germany;Germany;Germany;German;No;Part-Time
36;Male;Mixed;Morocco;Germany;Morocco;English;No;Full-Time
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;No;Part-Time
29;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
32;Female;Asian;Vietnam;Germany;Vietnam;Vietnamese;No;Due to start a new job within the next month
27;Female;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;United States;Germany;Germany;German;No;Full-Time
27;Male;Asian;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
39;Female;White;Romania;Germany;Germany;Romanian;No;Full-Time
30;Female;White;United Kingdom;Germany;United Kingdom;English;No;Full-Time
25;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
27;Female;White;Germany;Germany;Germany;German;Yes;Other
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
18;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
40;Female;White;Germany;Germany;Germany;German;No;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Syrian Arab Republic;Germany;Syrian Arab Republic;Arabic;Yes;Full-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Male;Asian;Pakistan;Germany;Pakistan;English;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Other
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
41;Male;White;Turkey;Germany;Germany;English;No;Full-Time
40;Male;Asian;India;Germany;India;English;Yes;Full-Time
43;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
34;Male;White;Germany;Germany;Germany;English;Yes;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Part-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
34;Male;White;Azerbaijan;Germany;Azerbaijan;German;No;Full-Time
25;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
27;Male;Asian;United States;Germany;United States;German;Yes;Full-Time
32;Male;Asian;France;Germany;France;English;Yes;Part-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Other
29;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
21;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
33;Female;Mixed;Germany;Germany;Germany;German;No;Full-Time
39;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
64;Male;White;Germany;Germany;Germany;German;No;Full-Time
52;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
30;Female;Asian;Iran;Germany;Iran;Farsi;Yes;Full-Time
36;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
28;Male;Mixed;Algeria;Germany;Algeria;Arabic;Yes;Part-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Other
24;Male;White;Germany;Germany;Germany;German;Yes;Other
21;Female;White;Germany;Germany;United States;English;Yes;Full-Time
30;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
50;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Male;White;Germany;Germany;Germany;Russian;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
18;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;No;Full-Time
30;Female;Black;Nigeria;Germany;Nigeria;English;Yes;Part-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Male;Mixed;Germany;Germany;Germany;German;Yes;Full-Time
40;Male;White;Germany;Germany;Germany;German;No;Full-Time
32;Male;White;Russian Federation;Germany;Germany;German;No;Full-Time
29;Female;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
22;Female;White;Germany;Germany;Germany;German;Yes;Other
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Other
28;Male;Asian;India;Germany;Germany;English;Yes;Full-Time
26;Female;White;Italy;Germany;Italy;Italian;No;Other
31;Female;White;Turkey;Germany;Turkey;Turkish;No;Part-Time
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;Black;Nigeria;Germany;Nigeria;English;Yes;Due to start a new job within the next month
44;Male;White;Germany;Germany;Germany;English;No;Part-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
38;Male;White;France;Germany;Germany;French;Yes;Full-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
30;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
27;Male;White;Turkey;Germany;Bulgaria;Turkish;No;Due to start a new job within the next month
23;Male;Asian;Indonesia;Germany;Indonesia;Indonesian;Yes;Unemployed (and job seeking)
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
32;Male;Other;Egypt;Germany;Egypt;Arabic;Yes;Full-Time
22;Female;Asian;Philippines;Germany;Philippines;Tagalog-Filipino;Yes;Unemployed (and job seeking)
22;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
27;Male;Mixed;Germany;Germany;Germany;German;Yes;Full-Time
22;Male;Mixed;United States;Germany;Germany;German;Yes;Full-Time
28;Male;White;Germany;Germany;Germany;German;No;Part-Time
44;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
34;Female;White;Russian Federation;Germany;Russian Federation;Russian;No;Full-Time
33;Male;White;Kyrgyzstan;Germany;Germany;German;No;Full-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Female;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Female;White;Germany;Germany;Germany;German;No;Full-Time
22;Female;White;Latvia;Germany;Latvia;Latvian;No;Unemployed (and job seeking)
18;Male;Asian;Pakistan;Germany;Pakistan;Urdu;Yes;Part-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
61;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
32;Female;White;Poland;Germany;Poland;Polish;No;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Part-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
53;Male;White;Germany;Germany;France;German;No;Full-Time
24;Male;White;Greece;Germany;Greece;Greek;Yes;Other
30;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
29;Female;White;Albania;Germany;Albania;Albanian;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;No;Part-Time
43;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
41;Female;White;Germany;Germany;Germany;German;No;Full-Time
61;Female;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;Mixed;Germany;Germany;Germany;German;No;Full-Time
27;Female;White;United States;Germany;United States;English;No;Part-Time
20;Female;Mixed;Germany;Germany;Germany;English;Yes;Full-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Other
22;Male;Mixed;Germany;Germany;Germany;German;Yes;Other
21;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
31;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
22;Male;White;Russian Federation;Germany;Germany;German;Yes;Full-Time
18;Male;Asian;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
31;Male;Asian;India;Germany;India;English;Yes;Part-Time
22;Male;White;Turkey;Germany;Turkey;English;Yes;Part-Time
33;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
27;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
29;Female;Black;Nigeria;Germany;Nigeria;English;No;Unemployed (and job seeking)
38;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
43;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Other
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
18;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
27;Female;White;Germany;Germany;Germany;German;Yes;Other
29;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
33;Male;White;Turkey;Germany;Germany;Turkish;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Female;White;Germany;Germany;Germany;German;Yes;Other
23;Male;Asian;Indonesia;Germany;Indonesia;Indonesian;Yes;Unemployed (and job seeking)
29;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
23;Male;Other;Germany;Germany;Germany;Serbian;Yes;Part-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
38;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
27;Male;Mixed;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
25;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
41;Male;White;Greece;Germany;Greece;Greek;No;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Other
34;Female;White;Germany;Germany;Germany;German;No;Full-Time
18;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
43;Female;Mixed;Cameroon;Germany;Cameroon;English;No;Full-Time
38;Male;Other;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
35;Female;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
25;Male;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;White;Turkey;Germany;Turkey;English;Yes;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
20;Male;Mixed;Turkey;Germany;Turkey;Turkish;Yes;Other
25;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
51;Male;White;Germany;Germany;Germany;German;No;Full-Time
54;Male;White;Germany;Germany;Germany;German;No;Full-Time
27;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
30;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
26;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
21;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Female;Black;Nigeria;Germany;Nigeria;English;Yes;Unemployed (and job seeking)
19;Prefer not to say;Mixed;Germany;Germany;Germany;German;No;Due to start a new job within the next month
59;Male;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;Mixed;Madagascar;Germany;Madagascar;French;No;Part-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
25;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
31;Female;White;Germany;Germany;Germany;German;No;Full-Time
24;Male;White;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
23;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
22;Male;White;Germany;Germany;Germany;German;Yes;Other
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Female;Mixed;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;No;Part-Time
25;Female;White;Italy;Germany;Italy;Italian;No;Due to start a new job within the next month
25;Female;Other;Turkey;Germany;Turkey;Turkish;No;Part-Time
39;Male;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
24;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Male;Asian;India;Germany;India;Hindi;Yes;Other
48;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;Black;Nigeria;Germany;Nigeria;English;No;Full-Time
32;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Female;Mixed;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
33;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
27;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Other
26;Female;Asian;Nepal;Germany;Nepal;English;Yes;Part-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Algeria;Germany;Algeria;Arabic;No;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
28;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Female;Asian;Taiwan;Germany;Taiwan;Chinese;No;Full-Time
30;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
27;Female;Other;Germany;Germany;Germany;German;No;Full-Time
54;Male;White;Germany;Germany;Germany;German;No;Part-Time
28;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;White;Germany;Germany;Germany;German;No;Full-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Turkey;Germany;Bulgaria;Turkish;Yes;Full-Time
23;Male;Mixed;Germany;Germany;Germany;German;Yes;Full-Time
31;Female;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;English;Yes;Full-Time
25;Male;White;Hungary;Germany;Hungary;Hungarian;Yes;Full-Time
29;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
